Group 1,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2.16*10^6,9.67*10^5,-,16,6,-
Actinomycete isolation agar,7.35*10^5,2.09*10^5,-,11.5,1.5,-
,,,,,,
Group 2,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,23,
LB agar,1.4*10^5,6.39*10^6,1.4*10^7,8,9,6
Actinomycete isolation agar,7.9*10^5,3.42*10^6,1.8*10^6,10,14,6
,,,,,,
Group 3,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2.93*10^5,1.6*10^6,N/A,20,12,N/A
Actinomycete isolation agar,1.07*10^5,1.81*10^6,N/A,18,11,N/A
,,,,,,
Group 4,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,6.73*10^5,2.78*10^5,2.09*10^5,8,21,7
Actinomycete isolation agar,4.42*10^5,1.37*10^5,6.4*10^5,4,11,
,,,,,,
Group 5,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 6,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,4.4*10^6,9.8*10^5,1.14*10^7,5,7,5
Actinomycete isolation agar,1.8*10^6,1.5*10^6,6.7*10^7,6,5,5
,,,,,,
Group 7,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,3.70E+06,5.30E+05,1.26E+06,5,5,8
Actinomycete isolation agar,1.40E+07,9.90E+05,2.25E+05,3,8,8
,,,,,,
Group 8,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2540000,9250000,7600000,10,6,8
Actinomycete isolation agar,1023000,4750000,1680000,9,8,9
,,,,,,
Group 9,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2.5*10^6,3.6*10^6,,7,5,
Actinomycete isolation agar,5*10^5,2.5*10^6,,6,7,
,,,,,,
Group 10,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,4.24*10^6,2.5*10^6,,7,,
Actinomycete isolation agar,1.41*10^6,1.7*10^6,,6,,
,,,,,,
Group 11,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,7.18*10^6,7600000,,6,12,
Actinomycete isolation agar,2.95*10^6,3410000,,7,12,
,,,,,,
Group 12,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.23*10^7,5.84*10^6,4.79*10^6,12,17,8
Actinomycete isolation agar,1.97*10^6,2.97*10^6,2.49*10^6,15,15,13
,,,,,,
Group 13,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.73*10^6,5.6*10^6,4.5*10^6,11,9,7
Actinomycete isolation agar,8.3*10^5,4.3*10^6,1.8*10^6,10,7,5
,,,,,,
Group 14,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 15,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
