Group 1,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,9.1*10^7,1.8*10^6,9.8*10^5,5,2,7
Actinomycete isolation agar,9.1*10^5,1*10^6,1.4*10^6,11,3,7
,,,,,,
Group 2,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.8*10^6,1.2*10^8,1.3*10^6,6,12,9
Actinomycete isolation agar,2*10^6,6*10^6,1.6*10^6,5,5,6
,,,,,,
Group 3,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.9*10^7,1.12*10^6,,3,12,
Actinomycete isolation agar,1.9*10^6,1.66*10^6,,8,10,
,,,,,,
Group 4,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,7.5*10^6,7.1*10^6,9.5*10^6,6,4,7
Actinomycete isolation agar,2.7*10^6,8*10^6,7.3*10^6,7,3,9
,,,,,,
Group 5,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.19E+06,3.40E+06,3.60E+06,4,6,5
Actinomycete isolation agar,1.60E+06,1.20E+06,2.60E+06,5,3,7
,,,,,,
Group 6,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2.06E+06,1.35E+07,2.20E+06,7,18,9
Actinomycete isolation agar,2.50E+06,1.03E+06,7.10E+05,13,6,13
,,,,,,
Group 7,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,5.30E+07,20000000,56000000,7,5,16
Actinomycete isolation agar,24000000,21000000,20000000,6,5,15
,,,,,,
Group 8,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.59E+06,1.10E+06,1.26E+06,11,11,10
Actinomycete isolation agar,9.80E+05,7.40E+05,8.10E+05,13,10,10
,,,,,,
Group 9,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,5.00E+06,9.80E+06,2.00E+06,3,12,7
Actinomycete isolation agar,7.00E+06,1.50E+07,1.00E+06,4,11,4
,,,,,,
Group 10,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 11,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,4.50E+06,7.70E+05,6.20E+06,10,10,10
Actinomycete isolation agar,1.80E+06,1.89E+06,2.90E+06,5,8,7
,,,,,,
Group 12,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 13,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.72*10^6,1.01 *10^6,,10,7,
Actinomycete isolation agar,8.9*10^5,4.2*10^5,,12,8,
,,,,,,
Group 14,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.86*10^6,1.59*10^6,1.94*10^6,7,6,10
Actinomycete isolation agar,8.1*10^5,6.1*10^5,5.0*10^6,10,3,
