Group 1,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.94*10^6,1.42*10^6,4.6*10^6,7,6,5
Actinomycete isolation agar,1.61*10^6,1.82*10^6,2.0*10^6,10,6,6
,,,,,,
Group 2,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 3,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 4,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,4.90E+06,4.40E+06,3.70E+06,4,8,8
Actinomycete isolation agar,2.10E+06,2.60E+06,9.00E+06,4,10,11
,,,,,,
Group 5,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 6,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 7,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.65*10^6,2.8*10^6,1.68*10^6,5,6,14
Actinomycete isolation agar,1.02*10^6,2.2*10^6,1.61*10^6,5,3,
,,,,,,
Group 8,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.8*10^7,1.28*10^6,7.8*10^6,6,8,12
Actinomycete isolation agar,2.1*10^7,8.8*10^3,1.6*10^6,14,16,14
,,,,,,
Group 9,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,2.08*10^6,1.9*10^6,1.58*10^6,4,4,11
Actinomycete isolation agar,1.21*10^6,1.89*10^6,1.55*10^6,3,5,6
,,,,,,
Group 10,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,1.19*10^6,1*10^6,,9,5,
Actinomycete isolation agar,9.3 *10^5,6 *10^5,,10,3,
,,,,,,
Group 11,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,6.06*10^6,4.03*10^6,3.87*10^6,5,9,7
Actinomycete isolation agar,3.2*10^6,2.05*10^6,3.1*10^6,8,9,13
,,,,,,
Group 12,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,,,,,,
Actinomycete isolation agar,,,,,,
,,,,,,
Group 13,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,3.80E+06,3.30E+06,1.98E+06,4,5,12
Actinomycete isolation agar,6.30E+05,1.24E+06,1.47E+06,8,11,12
,,,,,,
Group 14,Calculated CFU/ml,,,Number of different species,,
Pair:,1,2,3,1,2,3
LB agar,5540000,4160000,12300000,15,9,12
Actinomycete isolation agar,1720000,4700000,1970000,16,5,15
